"number","question","answer","explanation"
"1","표면연소란 다음 중 어느 것을 말하는가?","4",""
"2","등유(燈油)의 Pot burner는 다음중 어떤 연소의 형태를 이용 한 것인가?","2",""
"3","폭발성 분위기의 생성 조건과 관련되는 위험특성에 속하는 것은?","1",""
"4","다음 중 위험한 증기가 있는 곳의 장치에 정전기를 해소 시 키기 위한 방법이 아닌 것은?","4",""
"5","가스의 속도를 크게 할수록 압력손실은 커지나 분리 효율이 좋아지는 집진장치는?","2",""
"6","다음 중 가스의 성질을 바르게 나타낸 것은?","4",""
"7","1기압 20L의 공기를 4L 용기에 넣었을 때 산소의 분압은? (단, 압축시 온도변화는 없고, 공기는 이상기체로 가정하며,공 기중 산소의 백분율은 20%로 가정한다.)","1",""
"8","폭굉유도거리(DID)가 짧아지는 요인으로 옳지 않은 것은?","2",""
"9","메탄의 폭발 범위는 5.0-15.0% V/V 라고 한다. 메탄의 위험 도는?","4",""
"10","플라스틱, 합성수지와 같은 고체 가연성물질의 연소형태는?","4",""
"11","내압(耐壓)방폭구조로 방폭 전기기기를 설계할 때 가장 중요 하게 고려해야 할 사항은?","2",""
"12","다음의 가스가 같은 조건에서 같은 질량이 연소할때 가장 높은 발열량(㎉/㎏)을 나타내는 것은?","1",""
"29","5, 47.0 kg· m/kg· K 이다.)","1",""
"14","다음 사항중 가연성가스의 연소,폭발에 관한 설명중 옳은 것은?","3",""
"15","액체가 급격한 상변화를 하여 증기가 된 후 폭발하는 현상 을 무엇이라 하는가?","1",""
"16","다음은 가스 폭발범위에 관한 설명중 옳은 것은?","4",""
"17","기체의 임계온도에 관한 다음 사항 중 맞는 것은?","3",""
"18","다음은 자연발화온도(Autoignition temperature:AIT)에 영향 을 주는 요인 중에서 증기의 농도에 관한 사항이다. 옳은 것은?","3",""
"19","다음 설명 중 옳은 것은?","2",""
"20","프로판가스의 연소과정에서 발생한 열량이 15500kcal/kg 이 고 연소할때 발생된 수증기의 잠열이 4500kcal/kg이다. 이 때 프로판 가스의 연소효율은 얼마인가? (단,프로판가스의 진발열량은 12100kcal/kg임)","4",""
"21","산소 압축기의 윤활제에 물을 사용하는 이유는?","3",""
"22","흡입압력이 3[kg/cm 2 a] 인 3 단 압축기가 있다. 각단의 압축비를 3 이라 할때 제3단의 토출압력은 몇 [kg/cm 2 a] 되는가?","3",""
"23","물질을 취급하는 장치의 사용재료로서 구리 및 구리합금을 사용해도 좋은 것은?","2",""
"24","원심 펌프의 특징이 아닌 것은?","1",""
"25","상온의 질소가스는 압력을 상승시키면 가스점도가 어떻게 변화하는가?","1",""
"26","도시가스 누출의 원인이 될수 없는 것은?","2",""
"27","내경:100[mm],길이:400[m] 인 주철관을 유속 2[m/s] 로 물이 흐를때의 마찰손실수두를 구하면? (단, λ 는 0.04 이 다.)","1",""
"28","가스액화 원리로 가장 기본적인 방법은?","1",""
"29","배관 등의 용접 및 비파괴검사 중 용접부의 외관검사로서 기준에 맞지 않는 것은?","1",""
"30","다음 중 가스홀더의 기능이 아닌 것은?","4",""
"31","암모니아 합성탑에 대한 설명으로 틀린 것은?","1",""
"32","LPG 집합 공급 시설에 관해서 옳지 않은 것은?","4",""
"33","내용적 10 m 3 의 액화산소 저장설비(지상설치)와 제1종 보 호시설과 유지해야 할 안전거리는? (단,액화산소의 상용온도 에서의 액화비중:1.14 로 본다)","3",""
"34","전기방식 중 희생양극법의 특징으로 틀린 것은?","4",""
"35","언로딩형 정압기에 대한 설명 중 틀린 것은?","3",""
"36","다음 보기항 중 설명이 틀린 것은?","2",""
"37","LPG 조정기의 규격용량은 총가스소비량의 몇 % 이상의 규 격용량을 가져야 하는가?","4",""
"38","용기 재료의 구비조건으로 잘못된 것은?","1",""
"39","메탄염소화에 의해 염화메틸(CH 3 Cl)을 제조할때 반응온도는 얼마 정도로 해야 하는가?","1",""
"40","다음 중 500°C 이상의 고온, 고압가스설비에 사용이 적당한 재료는?","3",""
"41","충전 용기등을 적재하여 운행하는 경우는 변화가를 피하도 록 하고 있는데 ""번화가""란?","3",""
"42","가연성 독성가스의 용기 도색후 그 표기 방법이 틀린것은?","4",""
"43","고압가스 충전용기의 운반 기준으로 틀린 것은?","2",""
"44","다음 염소가스에 대한 설명으로 옳지 않은 것은?","4",""
"45","다음 중 압력 제어장치 설치 위치가 틀린 곳은?","4",""
"46","LP 가스 방출관의 방출구 높이는? (단, 공기보다 비중이 무 거운 경우)","2",""
"47","도시가스배관을 지하에 설치시 되메움 재료는 3 단계로 구 분하여 포설한다. 이때 ""침상재료"" 라 함은?","4",""
"48","연료용 가스에 주입하는 부취제(냄새가 나는 물질)의 측정방 법으로 볼 수 없는 것은?","4",""
"49","도시가스 전기방식시설의 유지관리에 관한 설명 중 잘못된 것은?","4",""
"50","충전된 수소용기가 운반도중 파열사고가 일어났다. 사고원 인 가능성을 예시한것으로 관계가 가장 적은 것은?","2",""
"51","도시가스사업법상 배관 구분시 사용되지 않는 용어는?","3",""
"52","차량에 고정된 탱크에 고압가스를 충전하거나 이입 받을 때 차량정지목 등으로 차량을 고정 하여야 하는 용량은?","2",""
"53","용기 보관실을 설치한후 액화 석유가스를 사용하여야 하는 시설은?","4",""
"54","압력조정기를 제조하고자 하는 자가 갖추어야할 검사설비에 해당되지 않는 것은?","2",""
"55","용기의 종류별 부속품 기호가 틀린 것은?","3",""
"56","압축기 정지시 지켜야 할 사항 중 틀린 것은?","2",""
"57","이음새 없는 용기를 제조할 때 재료시험에 속하지 않는 것 은?","4",""
"58","고압가스충전의 시설기준에서 산소충전시설과 고압가스 설 비시설의 안전거리는 몇 m 이상 유지해야 하는가?","4",""
"59","고압가스를 압축하는 경우 가스를 압축하여서는 아니되는 경우는?","3",""
